
RK,	PLAYER,	SCHOOL/Team,	YEAR,	POS,	POS, RK,	HT,	WT		
80,	Melvin Frazier,	Tulane,	Jr,	SG,	18,	6-6,	200		
81,	Lindell Wigginton,	Iowa St.,	Fr,	PG,	22,	6-2,	188		
82,	Gary Clark,	Cincinnati,	Sr,	PF,	16,	6-8,	230		
83,	Rob Gray,	Houston,	Sr,	PG,	23,	6-1,	185		
84,	Trevon Bluiett,	Xavier,	Sr,	SF,	21,	6-6,	198		
85,	Isaac Bonga,	International-Frankfurt Skyliners,	-,	SF,	22,	6-9,	200		
86,	Marques Bolden,	Duke,	Soph,	C,	7,	6-11,	246		
87,	Marcus Foster,	Creighton,	Sr,	SG,	19,	6-3,	205		
88,	Dewan Huell,	Miami (Fla.),	Soph,	PF,	17,	6-11,	236		
89,	Billy Preston,	Kansas,	Fr,	PF,	18,	6-10,	240		
90,	Kelan Martin,	Butler,	Sr,	SF,	23,	6-7,	220		
91,	Cody Martin,	NC State,	Jr,	SG,	20,	6-7,	205		
92,	Yante Maten,	Georgia,	Sr,	PG,	24,	6-8,	240		
93,	Angel Delgado,	Seton Hall,	Sr,	PF,	19,	6-10,	245		
94,	Brian Bowen II,	S. Carolina,	Fr,	SF,	24,	6-7,	190		
95,	J.P. Macura,	Xavier,	Sr,	SG,	21,	6-5,	203		
96,	Johnathan Williams,	Gonzaga,	Sr,	PF,	20,	6-9,	228		
97,	Jo Lual-Acuil Jr.,	Baylor,	Sr,	C,	8,	7-0,	225		
98,	Lagerald Vick,	Kansas,	Jr,	SG,	22,	6-5,	175
