Rk,Player,Position,Team,Salary,Salary,Salary,Salary,Salary,Salary,Signed Using,Option,Option Year,Guaranteed,Photo
34,Nicolas Batum,SF,CHA,22434783,24000000,25565217,27130434,,,Cap Space,Player,2020,72000000,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3416.png&w=350&h=254
35,Rudy Gobert,C,UTA,21974719,23491573,25008427,26525281,,,1st Round Pick,,,97000000,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3032976.png&w=350&h=254
36,LaMarcus Aldridge,PF,SAS,21461010,22347015,26000000,,,,Cap Space,,,69808025,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2983.png&w=350&h=254
37,Victor Oladipo,SG,IND,21000000,21000000,21000000,21000000,,,1st Round Pick,,,84000000,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2527963.png&w=350&h=254
38,Enes Kanter,C,NYK,20566802,18622514,,,,,Bird Rights,Player,2018,20566802,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/6447.png&w=350&h=254
39,Danilo Gallinari,SF,LAC,20559599,21587579,22615559,,,,Sign and Trade,,,64762737,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3428.png&w=350&h=254
40,Serge Ibaka,PF,TOR,20061729,21666667,23271604,,,,Cap space,,,65000000,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3439.png&w=350&h=254
41,George Hill,PG,CLE,20000000,19000000,18000000,,,,Cap space,,,40000000,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3438.png&w=350&h=254
42,Ryan Anderson,PF,HOU,19578455,20421546,21264635,,,,Cap Space,,,61264636,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3412.png&w=350&h=254
43,Paul George,SG,OKC,19508958,20703384,,,,,1st Round Pick,Player,2018,19508958,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4251.png&w=350&h=254
44,Allen Crabbe,SG,BKN,19332500,18500000,18500000,,,,Cap Space,Player,2019,37832500,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2531210.png&w=350&h=254
45,Jimmy Butler,SG,MIN,19301070,20445779,19841627,,,,Bird Rights,Player,2019,39746849,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/6430.png&w=350&h=254
46,Jeff Teague,PG,MIN,19000000,19000000,19000000,,,,Cap space,Player,2019,38000000,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4015.png&w=350&h=254
47,Kawhi Leonard,SF,SAS,18868625,20099189,21329752,,,,Bird Rights,Player,2019,38967814,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/6450.png&w=350&h=254
48,Kyrie Irving,PG,BOS,18868625,20099188,21329750,,,,Bird Rights,Player,2019,38967813,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/6442.png&w=350&h=254
49,John Wall,PG,WAS,18063850,19169800,37800000,40824000,43848000,,Bird Rights,,,159705650,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4237.png&w=350&h=254
50,DeMarcus Cousins,C,NOP,18063850,,,,,,1st Round Pick,,,18063850,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4258.png&w=350&h=254
51,Greg Monroe,C,PHX,17884176,,,,,,,,,17884176,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4260.png&w=350&h=254
52,Wesley Matthews,SG,DAL,17884176,18622514,,,,,Cap Space,Player,2018,17884176,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4032.png&w=350&h=254
53,Klay Thompson,SG,GSW,17826150,18988725,,,,,1st Round Pick,,,36814875,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/6475.png&w=350&h=254
54,Joakim Noah,C,NYK,17765000,18530000,19295000,,,,Cap Space,,,55590000,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3224.png&w=350&h=254
55,Kentavious Caldwell-Pope,SG,LAL,17745894,,,,,,Cap space,,,17745894,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2581018.png&w=350&h=254
56,Luol Deng,SF,LAL,17190000,18000000,18810000,,,,Cap Space,,,54000000,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2429.png&w=350&h=254
57,Evan Turner,SF,POR,17131148,17868852,18606557,,,,Cap Space,,,53606557,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4239.png&w=350&h=254
58,Goran Dragic,PG,MIA,17000450,18109175,19217900,,,,Bird Rights,Player,2019,35109625,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3423.png&w=350&h=254
59,Evan Fournier,SG,ORL,17000000,17000000,17000000,17000000,,,Cap Space,Player,2020,51000000,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/6588.png&w=350&h=254
60,Bismack Biyombo,C,ORL,17000000,17000000,17000000,,,,Cap Space,Player,2019,34000000,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/6427.png&w=350&h=254
61,Kent Bazemore,SG,ATL,16910113,18089887,19269662,,,,Cap Space,Player,2019,35000000,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/6637.png&w=350&h=254
62,Robert Covington,SF,PHI,16698103,10464092,11301219,12138345,12975471,,Cap Space,,,63577230,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2490620.png&w=350&h=254
63,Ian Mahinmi,C,WAS,16661641,15944154,15450051,,,,Cap Space,,,48055846,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2774.png&w=350&h=254
64,Tim Hardaway,SG,NYK,16500000,17325000,18150000,18975000,,,Cap space,Player,2020,51975000,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2528210.png&w=350&h=254
65,Draymond Green,SF,GSW,16400000,17469565,18539130,,,,Bird Rights,,,52408695,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/6589.png&w=350&h=254
66,Tristan Thompson,C,CLE,16400000,17469565,18539130,,,,Bird Rights,,,52408695,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/6474.png&w=350&h=254
67,Reggie Jackson,PG,DET,16000000,17043478,18086956,,,,Bird Rights,,,51130434,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/6443.png&w=350&h=254
