/* unused players in database */
Rk,Player,Position,Team,Salary,Salary,Salary,Salary,Salary,Salary,Signed Using,Option,Option Year,Guaranteed,Photo
70,Dwyane Wade,SG,CHI,15550000,,,,,,,,,15550000,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/1987.png&w=350&h=254

15,Chris Bosh,PF,MIA,25289390,26837720,,,,,,,,52127110,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/1977.png&w=350&h=254




401,Kyle Kuzma,PF,LAL,$1423560,$1689840,$1974600,$3562178,,,1st Round Pick,,,$3113400,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3134907.png
454,Rade Zagorac\zagorra01,MEM,$950000,$1378242,,,,,,$2328242
455,Ivan Rabb\rabbiv01,MEM,$950000,$1378242,$1618520,,,,MLE,$2328242
456,Ike Anigbogu\anigbik01,IND,$950000,$1378242,$1618520,,,,Cap space,$1640000
457,Gerald Green\greenge01,HOU,$947248,,,,,,Minimum Salary,$947248
458,Jason Thompson\thompja02,GSW,$945126,$945126,,,,,,$1890252
459,Martell Webster\webstma02,WAS,$830000,$830000,,,,,,$1660000
460,Frank Jackson\jacksfr01,NOP,$815615,$1378242,$1618520,,,,MLE,$2699857
461,Jordan Bell\belljo01,GSW,$815615,$1378252,,,,,Minimum Salary,$2193867,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3064427.png&w=350&h=254
462,Dakari Johnson\johnsda04,OKC,$815615,$1378242,,,,,,$2193857
463,Sterling Brown\brownst02,MIL,$815615,$1378242,$1618520,,,,MLE,$2193857
464,Dillon Brooks\brookdi01,MEM,$815615,$1378242,$1618520,,,,MLE,$2193857
465,Jawun Evans\evansja01,LAC,$815615,$1378242,$1618520,,,,MLE,$2193857
466,Sindarius Thornwell\thornsi01,LAC,$815615,$1378242,$1618520,,,,MLE,$2193857
467,Dwayne Bacon\bacondw01,CHA,$815615,$1378242,$1618520,,,,MLE,$2193857
468,Tyler Dorsey\dorsety01,ATL,$815615,$1378242,,,,,Minimum Salary,$2193857
469,Davon Reed\reedda01,PHX,$815615,$1378242,$1618520,,,,Minimum Salary,$1504736
470,Royce O'Neale\onealro01,UTA,$815615,$1378242,$1618520,,,,Cap space,$815615
471,Alfonzo McKinnie\mckinal01,TOR,$815615,$1378242,,,,,Minimum Salary,$815615
472,Brandon Paul\paulbr01,SAS,$815615,$1378242,,,,,Minimum Salary,$815615
473,Khem Birch\birchkh01,ORL,$815615,$1378242,,,,,Minimum Salary,$815615
474,Thomas Bryant\bryanth01,LAL,$815615,$1378242,,,,,Minimum Salary,$815615
475,Zhou Qi\qizh01,HOU,$815615,$1378242,$1618520,$1752950,,,MLE,$815615
476,Maxi Kleber\klebima01,DAL,$815615,$1378242,,,,,Minimum Salary,$815615
477,Daniel Theis\theisda01,BOS,$815615,$1378242,,,,,Minimum Salary,$815615
478,Sean Kilpatrick\kilpase01,MIL,$789725,,,,,,,$789725
479,Trey Burke\burketr01,NYK,$784160,$1795015,,,,,Minimum Salary,$784160,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2579260.png
480,Alex Poythress\poythal01,IND,$778668,$1544951,,,,,Two-Way Converted,$778668
481,Joe Johnson\johnsjo02,HOU,$749905,,,,,,,
482,Dwight Buycks\buyckdw01,DET,$748160,$1600520,,,,,Two-Way Converted,$748160
483,Tyler Cavanaugh\cavanty01,ATL,$679919,$1378242,,,,,Two-Way Converted,$729919
484,Carlos Delfino\delfica01,LAC,$650000,$650000,,,,,,$1300000
485,Caron Butler\butleca01,SAC,$517220,$517220,,,,,,$1034440
